,TOTAL,Nacional,Bienes,Servicios,Importado ,Bienes,Year,Month
0,56.5833258164558,60.1310536471779,61.1517019609788,58.796024906828,22.8308262907204,22.8308262907204,1993,1
1,57.5061401983027,61.2225741554425,62.6872372250472,59.4085491159312,23.5401407234915,23.5401407234915,1993,2
2,58.288182771135,61.9160855864114,64.2032211811612,59.9845377273804,25.7057307524358,25.7057307524358,1993,3
3,58.0960103238543,61.8519657668123,62.6075968451599,60.4337154614751,26.5525734030177,26.5525734030177,1993,4
4,58.6963366835525,62.502244784812,64.3265905264009,60.8180312239649,25.315496579413,25.315496579413,1993,5
5,58.3051070106934,61.707148869051,62.0056846069793,61.0355923600262,27.9840519149122,27.9840519149122,1993,6
6,58.1341227442155,61.4472262383155,61.9383854001371,60.7084533594108,29.7398959635716,29.7398959635716,1993,7
7,57.832265874307,61.2924363569659,61.4965842258462,60.7595908269793,27.1014788278891,27.1014788278891,1993,8
8,58.3497113782858,61.8849839346439,62.5894896795842,61.0657149026732,26.3906943771894,26.3906943771894,1993,9
9,58.3192725701278,61.764423415498,62.6894505974562,60.8092541425737,26.1701280984943,26.1701280984943,1993,10
10,58.0564960172015,61.4638262564341,62.2450661637379,60.8585771122512,26.6889447857201,26.6889447857201,1993,11
11,59.6680303459812,63.1818147240731,66.4001263824979,61.1753021267608,26.5074558830233,26.5074558830233,1993,12
12,58.9276199846842,62.2739648131594,62.4801790394489,61.7649750875094,26.9609801759669,26.9609801759669,1994,1
13,59.55798228911,62.8633530778085,63.2027457497738,62.1512265922302,29.0669852072813,29.0669852072813,1994,2
14,59.4354281217906,62.8616284758664,63.515212524163,62.5912399526359,28.491231815798,28.491231815798,1994,3
15,61.3675751205953,64.940999601878,66.1368198989483,63.1651083260844,31.0281691917354,31.0281691917354,1994,4
16,61.2189095002202,64.5580494890641,65.3915746809364,63.6372104740501,33.1608899360954,33.1608899360954,1994,5
17,61.8774601482877,65.1426159006943,66.0427853810611,63.9072990660838,33.4423892187093,33.4423892187093,1994,6
18,62.066353884748,65.367570915666,66.1090008144402,64.3050661949832,33.4491700463163,33.4491700463163,1994,7
19,62.3482833987015,65.5814356279554,66.5638703460465,64.4530087604095,34.2736682213295,34.2736682213295,1994,8
20,62.4164053205812,65.5536538865113,66.3906521554805,64.6641699605038,34.0109271508035,34.0109271508035,1994,9
21,62.9363558277293,65.7868516053982,66.9608234306702,64.5465697461888,35.3538381023143,35.3538381023143,1994,10
22,63.2923275800345,66.1018976854668,67.450926059349,64.8640282603531,36.529216131693,36.529216131693,1994,11
23,61.410045621088,64.3546594197682,64.7442994347825,65.3238967643989,33.0798875371744,33.0798875371744,1994,12
24,59.5709690085765,63.986065252567,65.0683750621871,62.6059756089092,18.332090678184,18.332090678184,1995,1
25,59.1526120612011,63.7288212394547,64.5523759597388,62.605557608654,17.1494058309959,17.1494058309959,1995,2
26,58.3123722216989,63.1211480450113,64.139326886218,62.5700804103763,15.8891642180937,15.8891642180937,1995,3
27,58.3328245461405,62.886680487333,63.9784193626839,61.0410497323195,17.1867853701918,17.1867853701918,1995,4
28,57.4283277166159,62.1273231589646,63.1595348073949,61.0709362851575,16.5421351296854,16.5421351296854,1995,5
29,58.1666257123043,62.7849320501641,64.0947956070557,61.2433057576474,16.8977465005006,16.8977465005006,1995,6
30,58.1664538479928,62.5538792755728,63.4440564139866,61.3898019493987,16.9949532825246,16.9949532825246,1995,7
31,58.5749069722643,63.0047592536998,64.5930640538023,61.2873032692687,19.7267475616697,19.7267475616697,1995,8
32,58.5545012186154,63.1223963644493,64.6293097303179,61.6345098788104,16.203558854184,16.203558854184,1995,9
33,58.1615605197196,62.9350126270035,63.9201265661858,61.7956381997137,15.8338497206289,15.8338497206289,1995,10
34,58.4657305343974,63.3748544906953,64.9035887836043,61.9258139653212,15.7011688434859,15.7011688434859,1995,11
35,59.0911758028301,63.7533923407737,66.1545451505644,62.1920056742587,16.3134591448637,16.3134591448637,1995,12
36,59.6039931896303,64.1739742389878,66.636890644474,61.6404297451588,17.2988491617455,17.2988491617455,1996,1
37,59.3184716594699,64.0700814296607,66.7616466671138,61.4439216512112,17.2718088651066,17.2718088651066,1996,2
38,60.2841123613424,64.9007145469237,68.2412403229217,61.830930914792,17.444118025653,17.444118025653,1996,3
39,59.6480472379059,64.5732762883493,67.0761532346065,61.5127180000087,16.4858049662592,16.4858049662592,1996,4
40,60.0107599247053,64.8870368358286,68.1103425193199,61.6024252562444,17.3394567383361,17.3394567383361,1996,5
41,60.427892206203,65.0281407571707,67.8739162223916,61.9241254244209,17.3343921134845,17.3343921134845,1996,6
42,60.90898558932,65.643553809768,69.2363837672717,61.9479324921691,18.494455663659,18.494455663659,1996,7
43,61.095277065093,65.6407554501169,69.0532154792685,62.1941338060224,20.4783304108767,20.4783304108767,1996,8
44,61.5671501357831,65.8894358052671,69.4271032798098,62.3558836370538,21.6911551936809,21.6911551936809,1996,9
45,62.1358850800739,66.5120434212992,69.6663079959662,63.0395119666094,23.7843602105308,23.7843602105308,1996,10
46,62.8456839647208,67.1229817023067,70.871668108713,63.3618296476742,24.4004094673706,24.4004094673706,1996,11
47,63.0386905619047,67.0496385078135,70.948963167126,63.5329572016839,26.73412734622,26.73412734622,1996,12
48,62.7950699645952,67.4702126243653,71.1752866018612,63.7149037492317,19.328039213085,19.328039213085,1997,1
49,63.974533173325,68.5640497028205,72.7893643967723,64.1968677593362,21.5197045664849,21.5197045664849,1997,2
50,63.6748875812609,68.0064192237867,72.2391338793746,64.0082204354142,21.7200882028121,21.7200882028121,1997,3
