,Indicador Global de la Actividad Económica,Actividades primarias,Actividades secundarias,21 Minería ,"22 Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",23 Construcción ,31-33 Industrias manufactureras ,Actividades terciarias,43 Comercio al por mayor,46 Comercio al por menor,"48-49-51 Transportes, correos y almacenamiento; Información en medios masivos ",52-53 Servicios financieros y de seguros; Servicios inmobiliarios y de alquiler de bienes muebles e intangibles ,"54-55-56 Servicios profesionales, científicos y técnicos; Corporativos; Servicios de apoyo a los negocios y manejo de desechos y servicios de remediación",61-62 Servicios educativos; Servicios de salud y de asistencia social ,"71-81 Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos; Otros servicios excepto actividades gubernamentales",72 Servicios de alojamiento temporal y de preparación de alimentos y bebidas ,"93 Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",Year,Month
42,65.9332856326722,79.5882676391149,75.0526522110458,95.1505831328212,45.3826475517824,73.2152615100102,70.3973678708838,60.4075373901934,48.8753183265476,57.0849064092895,51.3841796779075,53.5709092592209,65.418444273238,76.4178145627755,70.7839511802571,86.4990370961222,83.5286339816542,1996,7
43,65.9065004977281,72.9211052748661,74.6233095184164,93.3315804088846,45.7411843687687,71.6836782956433,70.5818078285376,60.8445447225697,49.4152090531162,57.224417961241,51.7649073684336,53.5803289714262,69.0339363996764,76.9508187925512,70.7052013979273,86.337019811577,83.5024228445284,1996,8
44,66.50637526647,73.95124412356,74.8218472732291,95.5404908009343,45.5589772948464,71.6741304586231,70.7407767514812,61.1800609222007,50.1092592614119,57.8963069395647,52.2441491635852,53.7027135260588,66.9500581728804,77.1566673836706,70.1639620067876,86.7195065315762,83.4853309014664,1996,9
45,66.9061572656955,74.4527795649926,76.2147990675469,96.2979105340642,45.6506102678774,72.8220169479073,72.0839723838458,61.3857391800254,50.3931591268976,58.1773319827753,52.8296932081121,53.925120755306,66.8355389848337,77.5563240749167,70.453667569653,88.4447232668419,83.483763072193,1996,10
46,67.5343306263779,86.4050421987673,76.8669907691075,96.8166776401974,47.250593250175,72.5137454870743,73.6255157705117,61.6727804021001,51.2434353536997,58.8462395507067,53.7687863629449,54.0001258929003,67.6176518158958,77.9295960586857,70.1771490268814,89.6420969893865,83.1877687320962,1996,11
47,68.2703651424108,74.3345253891609,79.0897209651067,97.7937070488001,46.3712893868149,77.8087190113112,73.6136626788588,62.0956105719037,51.528109338821,59.0488306407924,54.4446501138927,53.5648379863406,67.5331049772699,78.6745306568388,70.1632962173566,91.1599704468843,82.473387290312,1996,12
48,68.0895091376717,73.5109429013259,77.2591852451602,97.7079274392901,47.4056907699925,71.6186031819491,72.9634674015367,62.5623936271554,52.5915215323835,58.5715228806646,54.5899874437816,53.8071950704593,70.7691828641286,78.1213532099765,75.1493647390115,91.6190618606525,86.1168268353242,1997,1
49,68.1382170837039,71.5987213579595,77.7540588422384,98.9816058847619,47.2533953248114,69.9608821867234,74.2795339120261,62.802439703284,53.2765794274527,58.4040822363334,55.1625309988748,53.9820072036997,67.3813008106917,78.7682566935284,74.3913228213422,92.6444770437375,85.7877131876931,1997,2
50,68.4263176666271,73.0042338241053,77.7510987646604,98.817732294284,48.1391460335185,67.9827826745294,74.8523348882115,63.0048351442431,53.9844154056044,58.9476813203803,54.9664302040356,54.3107375570682,67.5571468137477,78.9367296659784,73.4881577477671,92.3143472723083,85.5672030236593,1997,3
51,69.299042654632,74.5809569790204,79.3593786625004,98.2556475304624,47.2390361835765,73.7171143216089,76.4279215868209,63.571728587608,54.1520148751285,59.6889319998655,56.2733647340817,54.0068237667055,68.5152950410067,80.2724965242641,74.7991900404275,93.1444029881594,85.5999265083642,1997,4
52,69.7747809973719,77.0363526310532,80.1717425424954,99.8089003533076,47.4534486845208,75.7155167088759,76.6829999687974,63.8956831237574,54.6029998275929,59.6191426908414,56.7206281785173,54.3820858452236,68.6076765656725,79.878671435025,74.5874678089206,94.1166512667324,85.6333804542903,1997,5
53,70.5211114471788,72.0857408141661,81.0456683645002,101.177760670217,47.3574623713455,75.5568683521738,78.1631195491266,64.8119819515688,56.6192680053505,61.3599443880373,57.2704409261982,54.4690268114744,69.1639495664064,80.4940667116363,74.5079936928214,94.8966571730727,85.6697875902743,1997,6
54,70.3458459011733,70.1545465013732,81.0359327120873,100.966186853603,47.5605531348611,75.4808408739883,78.3744235535424,64.551936686277,56.4004061313868,61.576040092277,56.9412601738108,54.6031953661297,68.6643085207818,80.8337462091024,75.3495579094605,94.9749289512256,85.6934974180548,1997,7
