,TOTAL,Construcción,    Residencial,    No residencial,Maquinaria y equipo,Nacional,Equipo de transporte,"Maquinaria, equipo y otros bienes",Importado,Equipo de transporte,"Maquinaria, equipo y otros bienes",Year,Month
0,59.5178174781345,70.862014215936,73.196444244113,68.792642354849,40.4958304277045,61.5415837063053,63.0504765283949,55.3309937661599,24.7114352537765,10.7367639752581,27.6898651402529,1993,1
1,61.368343721348,73.3420248642542,76.4830616566888,70.5871006271716,42.4291501781952,65.054984532548,69.679165481449,53.8155729106604,25.7789036893821,11.2510231432561,28.9178541017172,1993,2
2,60.950775269456,72.7012468656515,76.2784832687073,70.5336569187865,41.5626917870276,71.0708241639677,75.097569697178,57.9702516059665,23.2627338692459,11.0886264075251,26.6632307609432,1993,3
3,60.2869597187579,71.6886682843009,74.4709835411122,71.1021412866273,42.6649167237295,68.4502129853554,75.5064990022346,56.6019151415043,26.1734616177683,21.0749817907651,27.0558505378605,1993,4
4,61.9012711614021,74.3382584273785,75.5470231842926,72.5302053432612,41.7462184547112,66.4752725096242,73.1738809813492,57.4575891557636,26.4719796445825,26.4935686015402,26.7506686729335,1993,5
5,60.4498721535434,73.4579876296147,73.0803237237129,73.6994248311817,40.3273660842885,62.045822998393,66.6805220262633,56.3797493725034,26.2646481810846,13.3324527220732,27.8620850485955,1993,6
6,60.3535611954211,73.3065414433392,72.0899529824504,75.2183778576384,40.2589421768238,60.8821637652184,67.479309258824,57.150903144053,25.6642738276104,13.9807092708051,27.8475322183049,1993,7
7,61.2806764761989,74.1320852017158,70.2828454572249,77.9928931901142,40.178079297036,61.5912448154036,61.0762483354086,63.3269744621679,25.8547386252019,18.0414940932934,27.006622936401,1993,8
8,62.2746839061759,76.1761773945888,69.9988837383567,82.0599568031008,40.822838990952,63.1871524180947,70.6551612429309,56.2052128385101,25.509300542441,14.8206653757237,27.3998874389246,1993,9
9,62.4731796715181,76.4898559225239,68.3919994734028,84.1924470692857,40.2434226820661,63.6621317323468,70.6085366413171,59.5240140814946,24.6420529483731,9.42144396922406,26.9066116126896,1993,10
10,65.0587275243161,79.5254009202367,68.4295994522664,87.1194765271157,41.3564771676933,65.0026943889877,77.040276996352,55.098020306153,25.4362607112428,17.6307248533162,25.366151760783,1993,11
11,67.895961459352,83.3832064657468,68.7117734590321,90.0558701903788,43.9889700698978,72.7176827068174,87.9599994071176,54.3646590926164,26.7446796327829,22.3658055412077,25.9529659457429,1993,12
12,69.2324369617411,84.1826964617069,71.2825230554671,92.6360467303188,43.5592764887039,65.1789647377181,68.5835465879013,55.636480995854,27.6422842339164,15.4769642192753,30.4187529756176,1994,1
13,70.4577041662603,86.4907773360708,73.6267597183445,95.747730412355,44.7396250315487,64.2537323439529,67.0633026881662,55.7301804206115,30.1133255599261,18.3604601587775,32.8157243351906,1994,2
14,72.3609655275368,89.4933116590825,74.5069622082337,99.5562188698809,45.0552102850646,68.0652559163501,70.8721792691519,57.7874057270454,30.6280401494525,35.8192450579951,31.4835337302527,1994,3
15,73.596707586172,92.0214407837502,73.5264214636264,107.349489742407,44.7533957933487,68.2767166139707,72.1353062042137,60.8245318960833,29.83097339477,20.2916202794675,31.5758300847961,1994,4
16,71.7802974110093,90.3241329728974,72.9105367766462,101.372035110487,42.6324681966056,63.8934168847725,65.603599364086,61.0439611616424,29.4438427876153,13.9533396095115,32.1433310220485,1994,5
17,72.8158603896654,90.3016187340373,72.5681365820091,103.256395738278,45.2854578754812,66.1824415317956,69.7413619236611,61.9955770026188,31.5445287737368,14.562693388026,33.6796381659888,1994,6
18,72.1031320791435,89.4299897286784,72.4106308655948,103.3639141736,45.1277652080888,61.487751555711,63.4207286833643,63.0634559362704,32.5977990625083,32.3820282320302,32.8937324078785,1994,7
19,72.4917679352289,90.2954061885798,74.3429538886235,103.719663385843,44.6027463083366,63.9822277088668,65.9522746390637,63.1064743782487,31.7539324055704,15.83373854612,33.8925742319232,1994,8
20,71.2540985227877,88.5477844985124,75.1297643896771,100.952133435157,43.5998058252535,62.8822908631565,62.2015331932615,64.7513127261004,30.4473609439701,24.3462611436727,31.6898462249479,1994,9
21,71.613197234857,88.5147954044081,76.3897750524405,99.0938636472046,43.8000869829584,58.9226148622608,58.5438962696231,62.6285254824379,33.7643412766611,28.1889338236375,33.9382164464057,1994,10
22,69.524021349034,85.6229490856077,76.203782305684,91.6615581650848,44.6305076631771,59.1190256589882,57.9935624806086,63.3201316620613,35.9292433568036,33.4202515124641,34.525148272397,1994,11
23,66.8605150669388,83.5141649775678,79.0079161921657,82.7438883492634,40.2180690086541,57.8983225975258,55.590387548923204,62.0252246220739,30.371889866193,9.88059336058788,33.099679468214,1994,12
24,56.0069045967723,71.9465691393197,75.4738835417262,68.4972511247308,29.5252439870109,43.7705365314564,27.6193766459353,64.0077385873156,19.2252275892007,10.0371801510636,21.2602509844694,1995,1
25,45.5944256835629,57.5380253853022,65.0864852741208,52.1793337277218,26.2212160107646,39.8584968388342,24.3221780787566,60.3792880511051,16.2000050124204,8.74736783419656,17.8089438706812,1995,2
26,45.1406150521592,56.5844633981461,65.2270039871695,51.7256014728253,26.7294500200843,37.666669256266,21.3335214694501,59.5724059964768,19.8608479008204,9.78941428870044,22.331203451455,1995,3
27,44.4967783763385,57.5500981179686,67.5411871355509,51.2093957633318,23.6961401580669,34.4924933227802,19.205019493555,55.7727311896546,16.6050150866343,6.47656407972042,18.5447367534884,1995,4
